accX,accY,accZ,accX_cal,accY_cal,accZ_cal,gyroX,gyroY,gyroZ,gyroX_cal,gyroY_cal,gyroZ_cal
818,-364,16866,0,0,0,-235,-76,127,-0.11,-0.11,0.08
764,-302,16810,0,0,0,-220,-69,115,0.12,0,-0.11
904,-320,16822,0.01,0,0,-235,-69,120,-0.11,0,-0.03
830,-312,16768,0,0,0,-239,-69,125,-0.17,0,0.05
868,-332,16756,0,0,0,-231,-62,123,-0.05,0.11,0.02
874,-376,16708,0,0,-0.01,-233,-67,115,-0.08,0.03,-0.11
844,-300,16840,0,0,0,-225,-74,119,0.05,-0.08,-0.05
742,-382,16774,0,0,0,-226,-71,123,0.03,-0.03,0.02
814,-378,16658,0,0,-0.01,-238,-75,116,-0.15,-0.09,-0.09
834,-336,16728,0,0,0,-243,-73,124,-0.23,-0.06,0.03
804,-356,16806,0,0,0,-230,-73,119,-0.03,-0.06,-0.05
786,-348,16752,0,0,0,-236,-71,115,-0.12,-0.03,-0.11
766,-260,16750,0,0,0,-224,-73,120,0.06,-0.06,-0.03
846,-354,16734,0,0,0,-230,-65,121,-0.03,0.06,-0.02
776,-320,16734,0,0,0,-227,-63,124,0.02,0.09,0.03
850,-418,16858,0,-0.01,0,-239,-74,125,-0.17,-0.08,0.05
766,-372,16778,0,0,0,-221,-71,123,0.11,-0.03,0.02
842,-268,16710,0,0,-0.01,-233,-64,124,-0.08,0.08,0.03
776,-306,16748,0,0,0,-226,-71,122,0.03,-0.03,0
842,-376,16694,0,0,-0.01,-226,-60,129,0.03,0.14,0.11
884,-312,16800,0,0,0,-224,-65,122,0.06,0.06,0
856,-376,16838,0,0,0,-226,-64,125,0.03,0.08,0.05
798,-314,16858,0,0,0,-228,-64,126,0,0.08,0.06
980,-312,16796,0.01,0,0,-221,-79,123,0.11,-0.15,0.02
882,-148,16682,0,0.01,-0.01,-238,-83,113,-0.15,-0.21,-0.14
794,-324,16788,0,0,0,-227,-79,121,0.02,-0.15,-0.02
768,-258,16824,0,0,0,-232,-80,130,-0.06,-0.17,0.12
810,-360,16688,0,0,-0.01,-227,-74,128,0.02,-0.08,0.09
822,-262,16740,0,0,0,-225,-72,113,0.05,-0.05,-0.14
738,-400,16784,0,0,0,-229,-54,129,-0.02,0.23,0.11
820,-284,16804,0,0,0,-225,-63,126,0.05,0.09,0.06
792,-316,16800,0,0,0,-236,-61,128,-0.12,0.12,0.09
960,-366,16774,0.01,0,0,-227,-61,128,0.02,0.12,0.09
918,-372,16822,0.01,0,0,-229,-94,120,-0.02,-0.38,-0.03
884,-304,16730,0,0,0,-215,-60,120,0.2,0.14,-0.03
960,-380,16868,0.01,0,0,-222,-73,123,0.09,-0.06,0.02
856,-362,16888,0,0,0.01,-238,-81,118,-0.15,-0.18,-0.06
704,-272,16886,-0.01,0,0.01,-229,-77,126,-0.02,-0.12,0.06
814,-392,16714,0,0,0,-230,-71,115,-0.03,-0.03,-0.11
910,-302,16764,0.01,0,0,-239,-80,114,-0.17,-0.17,-0.12
818,-298,16688,0,0,-0.01,-227,-68,121,0.02,0.02,-0.02
744,-340,16884,0,0,0.01,-231,-68,128,-0.05,0.02,0.09
826,-310,16768,0,0,0,-227,-73,124,0.02,-0.06,0.03
808,-330,16860,0,0,0,-226,-68,122,0.03,0.02,0
772,-344,16736,0,0,0,-224,-66,122,0.06,0.05,0
792,-308,16708,0,0,-0.01,-234,-57,125,-0.09,0.18,0.05
842,-292,16728,0,0,0,-232,-65,119,-0.06,0.06,-0.05
824,-316,16716,0,0,0,-229,-70,125,-0.02,-0.02,0.05
760,-304,16620,0,0,-0.01,-223,-75,118,0.08,-0.09,-0.06
768,-340,16778,0,0,0,-230,-86,114,-0.03,-0.26,-0.12
854,-412,16780,0,-0.01,0,-234,-65,112,-0.09,0.06,-0.15
776,-370,16842,0,0,0,-233,-50,123,-0.08,0.29,0.02
782,-334,16766,0,0,0,-229,-63,120,-0.02,0.09,-0.03
838,-312,16704,0,0,-0.01,-225,-60,123,0.05,0.14,0.02
906,-318,16752,0.01,0,0,-236,-64,126,-0.12,0.08,0.06
892,-254,16760,0,0,0,-224,-78,125,0.06,-0.14,0.05
860,-236,16762,0,0.01,0,-229,-72,117,-0.02,-0.05,-0.08
778,-364,16840,0,0,0,-235,-76,123,-0.11,-0.11,0.02
876,-342,16772,0,0,0,-227,-62,128,0.02,0.11,0.09
808,-276,16798,0,0,0,-234,-70,111,-0.09,-0.02,-0.17
820,-376,16642,0,0,-0.01,-236,-71,118,-0.12,-0.03,-0.06
840,-338,16680,0,0,-0.01,-220,-73,119,0.12,-0.06,-0.05
864,-378,16810,0,0,0,-233,-70,118,-0.08,-0.02,-0.06
898,-192,16658,0,0.01,-0.01,-245,-67,121,-0.26,0.03,-0.02
712,-328,16846,-0.01,0,0,-227,-65,129,0.02,0.06,0.11
768,-326,16696,0,0,-0.01,-210,-62,134,0.27,0.11,0.18
950,-344,16752,0.01,0,0,-220,-81,118,0.12,-0.18,-0.06
860,-386,16756,0,0,0,-231,-73,117,-0.05,-0.06,-0.08
760,-384,16754,0,0,0,-237,-73,118,-0.14,-0.06,-0.06
804,-378,16682,0,0,-0.01,-227,-66,124,0.02,0.05,0.03
814,-340,16842,0,0,0,-216,-79,118,0.18,-0.15,-0.06
812,-234,16804,0,0.01,0,-220,-79,123,0.12,-0.15,0.02
858,-348,16654,0,0,-0.01,-235,-45,130,-0.11,0.37,0.12
800,-358,16780,0,0,0,-226,-60,120,0.03,0.14,-0.03
820,-356,16836,0,0,0,-225,-84,127,0.05,-0.23,0.08
848,-298,16740,0,0,0,-220,-77,119,0.12,-0.12,-0.05
848,-220,16792,0,0.01,0,-232,-72,126,-0.06,-0.05,0.06
808,-346,16700,0,0,-0.01,-228,-66,120,0,0.05,-0.03
844,-286,16756,0,0,0,-224,-75,118,0.06,-0.09,-0.06
804,-366,16782,0,0,0,-224,-79,124,0.06,-0.15,0.03
858,-372,16928,0,0,0.01,-227,-70,131,0.02,-0.02,0.14
840,-324,16744,0,0,0,-230,-70,123,-0.03,-0.02,0.02
764,-276,16778,0,0,0,-228,-72,137,0,-0.05,0.23
734,-326,16786,-0.01,0,0,-224,-71,124,0.06,-0.03,0.03
898,-248,16740,0,0,0,-228,-54,119,0,0.23,-0.05
806,-312,16798,0,0,0,-233,-52,112,-0.08,0.26,-0.15
792,-398,16606,0,0,-0.01,-234,-65,123,-0.09,0.06,0.02
826,-308,16870,0,0,0,-222,-75,115,0.09,-0.09,-0.11
760,-356,16858,0,0,0,-228,-71,126,0,-0.03,0.06
854,-360,16838,0,0,0,-219,-77,120,0.14,-0.12,-0.03
826,-362,16754,0,0,0,-231,-61,118,-0.05,0.12,-0.06
900,-334,16808,0.01,0,0,-225,-75,124,0.05,-0.09,0.03
900,-252,16682,0.01,0,-0.01,-235,-75,131,-0.11,-0.09,0.14
782,-302,16766,0,0,0,-228,-63,126,0,0.09,0.06
882,-454,16816,0,-0.01,0,-231,-67,130,-0.05,0.03,0.12
846,-332,16876,0,0,0.01,-220,-67,126,0.12,0.03,0.06
776,-352,16810,0,0,0,-232,-75,122,-0.06,-0.09,0
782,-356,16738,0,0,0,-219,-73,122,0.14,-0.06,0
830,-380,16762,0,0,0,-239,-69,122,-0.17,0,0
710,-248,16612,-0.01,0,-0.01,-231,-72,125,-0.05,-0.05,0.05
692,-334,16768,-0.01,0,0,-233,-61,112,-0.08,0.12,-0.15
640,-450,16970,-0.01,-0.01,0.01,-220,-81,123,0.12,-0.18,0.02
972,-306,16658,0.01,0,-0.01,-229,-64,128,-0.02,0.08,0.09
870,-334,16854,0,0,0,-241,-65,128,-0.2,0.06,0.09
854,-244,16770,0,0.01,0,-229,-69,120,-0.02,0,-0.03
860,-348,16906,0,0,0.01,-234,-66,123,-0.09,0.05,0.02
