accX,accY,accZ,accX_cal,accY_cal,accZ_cal,gyroX,gyroY,gyroZ,gyroX_cal,gyroY_cal,gyroZ_cal
-15392,-540,16,-0.99,-0.01,-1.02,-222,-59,121,0.09,0.15,-0.02
-15344,-508,-2,-0.99,-0.01,-1.03,-218,-72,125,0.15,-0.05,0.05
-15454,-486,90,-0.99,-0.01,-1.02,-219,-75,126,0.14,-0.09,0.06
-15388,-598,38,-0.99,-0.02,-1.02,-220,-79,132,0.12,-0.15,0.15
-15352,-530,50,-0.99,-0.01,-1.02,-221,-73,126,0.11,-0.06,0.06
-15418,-538,40,-0.99,-0.01,-1.02,-225,-68,129,0.05,0.02,0.11
-15442,-580,8,-0.99,-0.02,-1.02,-231,-71,123,-0.05,-0.03,0.02
-15438,-542,-68,-0.99,-0.01,-1.03,-227,-63,129,0.02,0.09,0.11
-15434,-532,38,-0.99,-0.01,-1.02,-229,-69,128,-0.02,0,0.09
-15422,-532,64,-0.99,-0.01,-1.02,-226,-67,126,0.03,0.03,0.06
-15364,-538,30,-0.99,-0.01,-1.02,-234,-73,133,-0.09,-0.06,0.17
-15376,-572,-46,-0.99,-0.01,-1.03,-231,-70,122,-0.05,-0.02,0
-15394,-514,20,-0.99,-0.01,-1.02,-230,-66,126,-0.03,0.05,0.06
-15418,-542,102,-0.99,-0.01,-1.02,-236,-57,120,-0.12,0.18,-0.03
-15416,-512,10,-0.99,-0.01,-1.02,-228,-71,130,0,-0.03,0.12
-15350,-582,-16,-0.99,-0.02,-1.03,-223,-72,137,0.08,-0.05,0.23
-15334,-584,-20,-0.99,-0.02,-1.03,-228,-69,123,0,0,0.02
-15438,-526,86,-0.99,-0.01,-1.02,-225,-74,125,0.05,-0.08,0.05
-15378,-514,-198,-0.99,-0.01,-1.04,-227,-71,121,0.02,-0.03,-0.02
-15444,-490,56,-0.99,-0.01,-1.02,-232,-71,130,-0.06,-0.03,0.12
-15360,-580,-40,-0.99,-0.02,-1.03,-236,-71,130,-0.12,-0.03,0.12
-15410,-478,20,-0.99,-0.01,-1.02,-222,-66,131,0.09,0.05,0.14
-15344,-602,52,-0.99,-0.02,-1.02,-227,-72,117,0.02,-0.05,-0.08
-15456,-508,-90,-0.99,-0.01,-1.03,-226,-64,131,0.03,0.08,0.14
-15406,-536,-12,-0.99,-0.01,-1.03,-225,-64,129,0.05,0.08,0.11
-15398,-530,-10,-0.99,-0.01,-1.03,-223,-71,128,0.08,-0.03,0.09
-15402,-554,140,-0.99,-0.01,-1.02,-223,-63,118,0.08,0.09,-0.06
-15436,-430,74,-0.99,-0.01,-1.02,-225,-65,123,0.05,0.06,0.02
-15428,-554,-60,-0.99,-0.01,-1.03,-230,-72,124,-0.03,-0.05,0.03
-15432,-546,156,-0.99,-0.01,-1.02,-236,-68,122,-0.12,0.02,0
-15304,-568,-50,-0.98,-0.01,-1.03,-226,-74,128,0.03,-0.08,0.09
-15358,-486,10,-0.99,-0.01,-1.02,-228,-72,137,0,-0.05,0.23
-15426,-532,28,-0.99,-0.01,-1.02,-219,-87,124,0.14,-0.27,0.03
-15466,-534,-124,-0.99,-0.01,-1.03,-227,-67,116,0.02,0.03,-0.09
-15376,-500,-18,-0.99,-0.01,-1.03,-224,-70,132,0.06,-0.02,0.15
-15366,-580,38,-0.99,-0.02,-1.02,-225,-67,129,0.05,0.03,0.11
-15410,-612,-72,-0.99,-0.02,-1.03,-228,-61,113,0,0.12,-0.14
-15402,-538,-38,-0.99,-0.01,-1.03,-224,-63,124,0.06,0.09,0.03
-15374,-522,-36,-0.99,-0.01,-1.03,-224,-60,129,0.06,0.14,0.11
-15384,-566,116,-0.99,-0.01,-1.02,-235,-71,131,-0.11,-0.03,0.14
-15340,-680,-4,-0.99,-0.02,-1.03,-234,-71,122,-0.09,-0.03,0
-15338,-560,114,-0.99,-0.01,-1.02,-236,-72,118,-0.12,-0.05,-0.06
-15420,-564,46,-0.99,-0.01,-1.02,-230,-83,132,-0.03,-0.21,0.15
-15410,-560,128,-0.99,-0.01,-1.02,-233,-71,130,-0.08,-0.03,0.12
-15434,-508,20,-0.99,-0.01,-1.02,-235,-87,138,-0.11,-0.27,0.24
-15392,-578,-10,-0.99,-0.02,-1.03,-235,-78,133,-0.11,-0.14,0.17
-15392,-538,96,-0.99,-0.01,-1.02,-225,-79,128,0.05,-0.15,0.09
-15392,-480,-36,-0.99,-0.01,-1.03,-231,-72,125,-0.05,-0.05,0.05
-15406,-574,-32,-0.99,-0.02,-1.03,-239,-71,126,-0.17,-0.03,0.06
-15460,-468,-18,-0.99,-0.01,-1.03,-235,-73,124,-0.11,-0.06,0.03
-15384,-472,-44,-0.99,-0.01,-1.03,-230,-68,127,-0.03,0.02,0.08
-15470,-534,18,-0.99,-0.01,-1.02,-227,-67,137,0.02,0.03,0.23
-15400,-578,-74,-0.99,-0.02,-1.03,-228,-75,132,0,-0.09,0.15
-15338,-510,-90,-0.99,-0.01,-1.03,-233,-64,127,-0.08,0.08,0.08
-15394,-458,-2,-0.99,-0.01,-1.03,-226,-64,125,0.03,0.08,0.05
-15442,-516,0,-0.99,-0.01,-1.03,-230,-71,130,-0.03,-0.03,0.12
-15388,-556,-6,-0.99,-0.01,-1.03,-228,-72,127,0,-0.05,0.08
-15406,-502,2,-0.99,-0.01,-1.02,-238,-67,123,-0.15,0.03,0.02
-15456,-564,-6,-0.99,-0.01,-1.03,-231,-66,123,-0.05,0.05,0.02
-15406,-564,-66,-0.99,-0.01,-1.03,-230,-71,127,-0.03,-0.03,0.08
-15496,-570,-134,-1,-0.01,-1.03,-229,-67,123,-0.02,0.03,0.02
-15336,-504,-14,-0.99,-0.01,-1.03,-231,-69,122,-0.05,0,0
-15466,-546,0,-0.99,-0.01,-1.03,-227,-62,121,0.02,0.11,-0.02
-15412,-542,60,-0.99,-0.01,-1.02,-223,-73,122,0.08,-0.06,0
-15430,-528,42,-0.99,-0.01,-1.02,-237,-77,127,-0.14,-0.12,0.08
-15362,-526,-28,-0.99,-0.01,-1.03,-225,-65,124,0.05,0.06,0.03
-15408,-466,-98,-0.99,-0.01,-1.03,-227,-72,122,0.02,-0.05,0
