accX,accY,accZ,accX_cal,accY_cal,accZ_cal,gyroX,gyroY,gyroZ,gyroX_cal,gyroY_cal,gyroZ_cal
1076,-16830,-240,0.02,-1.01,-1.04,-229,-62,110,-0.02,0.11,-0.18
1082,-16720,-146,0.02,-1,-1.03,-255,-69,101,-0.41,0,-0.32
974,-16834,-102,0.01,-1.01,-1.03,-268,-67,107,-0.61,0.03,-0.23
994,-16814,-4,0.01,-1.01,-1.03,-255,-59,111,-0.41,0.15,-0.17
942,-16850,-12,0.01,-1.01,-1.03,-211,-61,136,0.26,0.12,0.21
1128,-16764,-132,0.02,-1,-1.03,-187,-70,148,0.63,-0.02,0.4
1036,-16772,-42,0.01,-1,-1.03,-194,-74,153,0.52,-0.08,0.47
1160,-16782,-170,0.02,-1,-1.04,-193,-71,142,0.53,-0.03,0.31
1168,-16764,-210,0.02,-1,-1.04,-204,-59,143,0.37,0.15,0.32
1204,-16840,-176,0.02,-1.01,-1.04,-208,-69,137,0.31,0,0.23
1192,-16876,-308,0.02,-1.01,-1.04,-222,-68,129,0.09,0.02,0.11
1166,-16722,-222,0.02,-1,-1.04,-236,-72,126,-0.12,-0.05,0.06
1094,-16856,-212,0.02,-1.01,-1.04,-231,-64,112,-0.05,0.08,-0.15
1168,-16812,-274,0.02,-1.01,-1.04,-238,-77,111,-0.15,-0.12,-0.17
1140,-16876,-48,0.02,-1.01,-1.03,-232,-66,119,-0.06,0.05,-0.05
1142,-16866,-156,0.02,-1.01,-1.03,-241,-64,117,-0.2,0.08,-0.08
1132,-16776,-224,0.02,-1,-1.04,-241,-70,116,-0.2,-0.02,-0.09
1132,-16828,-188,0.02,-1.01,-1.04,-233,-73,121,-0.08,-0.06,-0.02
1098,-16776,-120,0.02,-1,-1.03,-233,-74,121,-0.08,-0.08,-0.02
1004,-16836,-316,0.01,-1.01,-1.04,-230,-62,117,-0.03,0.11,-0.08
1098,-16758,-148,0.02,-1,-1.03,-218,-74,117,0.15,-0.08,-0.08
1072,-16794,-186,0.02,-1.01,-1.04,-222,-74,123,0.09,-0.08,0.02
1066,-16834,-184,0.02,-1.01,-1.04,-233,-64,125,-0.08,0.08,0.05
1094,-16794,-172,0.02,-1.01,-1.04,-227,-60,127,0.02,0.14,0.08
1114,-16752,-252,0.02,-1,-1.04,-228,-72,132,0,-0.05,0.15
1158,-16836,-190,0.02,-1.01,-1.04,-224,-77,123,0.06,-0.12,0.02
1152,-16832,-80,0.02,-1.01,-1.03,-242,-79,125,-0.21,-0.15,0.05
1186,-16868,-90,0.02,-1.01,-1.03,-228,-67,124,0,0.03,0.03
1066,-16864,-68,0.02,-1.01,-1.03,-230,-72,122,-0.03,-0.05,0
1048,-16850,-182,0.01,-1.01,-1.04,-227,-72,131,0.02,-0.05,0.14
1068,-16816,-144,0.02,-1.01,-1.03,-229,-66,124,-0.02,0.05,0.03
1076,-16820,-90,0.02,-1.01,-1.03,-227,-61,129,0.02,0.12,0.11
1128,-16798,-200,0.02,-1.01,-1.04,-227,-58,127,0.02,0.17,0.08
1066,-16824,-202,0.02,-1.01,-1.04,-227,-75,124,0.02,-0.09,0.03
1120,-16836,-210,0.02,-1.01,-1.04,-215,-70,117,0.2,-0.02,-0.08
1124,-16812,-214,0.02,-1.01,-1.04,-233,-70,122,-0.08,-0.02,0
1146,-16748,-134,0.02,-1,-1.03,-235,-71,126,-0.11,-0.03,0.06
1116,-16824,-182,0.02,-1.01,-1.04,-243,-69,119,-0.23,0,-0.05
1010,-16826,-206,0.01,-1.01,-1.04,-233,-60,116,-0.08,0.14,-0.09
1140,-16796,-62,0.02,-1.01,-1.03,-241,-68,120,-0.2,0.02,-0.03
1020,-16768,-118,0.01,-1,-1.03,-229,-74,127,-0.02,-0.08,0.08
1070,-16774,-176,0.02,-1,-1.04,-228,-66,125,0,0.05,0.05
1114,-16856,-132,0.02,-1.01,-1.03,-216,-68,128,0.18,0.02,0.09
1072,-16810,-234,0.02,-1.01,-1.04,-230,-68,134,-0.03,0.02,0.18
1066,-16824,-118,0.02,-1.01,-1.03,-226,-63,130,0.03,0.09,0.12
1078,-16840,-192,0.02,-1.01,-1.04,-221,-68,129,0.11,0.02,0.11
1142,-16836,-188,0.02,-1.01,-1.04,-225,-59,123,0.05,0.15,0.02
1050,-16854,-134,0.01,-1.01,-1.03,-225,-65,125,0.05,0.06,0.05
1204,-16754,-194,0.02,-1,-1.04,-222,-71,120,0.09,-0.03,-0.03
1056,-16836,-220,0.01,-1.01,-1.04,-226,-72,132,0.03,-0.05,0.15
1118,-16900,-92,0.02,-1.01,-1.03,-224,-68,130,0.06,0.02,0.12
1094,-16786,-186,0.02,-1,-1.04,-228,-58,124,0,0.17,0.03
1130,-16794,-102,0.02,-1.01,-1.03,-224,-75,119,0.06,-0.09,-0.05
1116,-16860,-174,0.02,-1.01,-1.04,-221,-74,127,0.11,-0.08,0.08
1108,-16778,-128,0.02,-1,-1.03,-234,-60,131,-0.09,0.14,0.14
1092,-16784,-30,0.02,-1,-1.03,-229,-63,123,-0.02,0.09,0.02
1058,-16858,-164,0.01,-1.01,-1.04,-241,-72,120,-0.2,-0.05,-0.03
1122,-16838,-264,0.02,-1.01,-1.04,-228,-63,107,0,0.09,-0.23
1146,-16784,-216,0.02,-1,-1.04,-231,-69,120,-0.05,0,-0.03
1104,-16820,-270,0.02,-1.01,-1.04,-233,-66,119,-0.08,0.05,-0.05
1106,-16740,-162,0.02,-1,-1.03,-228,-70,120,0,-0.02,-0.03
1054,-16790,-178,0.01,-1,-1.04,-228,-65,116,0,0.06,-0.09
1116,-16878,-136,0.02,-1.01,-1.03,-236,-73,116,-0.12,-0.06,-0.09
1042,-16786,-154,0.01,-1,-1.03,-231,-68,125,-0.05,0.02,0.05
1092,-16838,-222,0.02,-1.01,-1.04,-232,-73,131,-0.06,-0.06,0.14
1092,-16732,-204,0.02,-1,-1.04,-228,-63,120,0,0.09,-0.03
1122,-16834,-24,0.02,-1.01,-1.03,-219,-65,130,0.14,0.06,0.12
1184,-16864,-198,0.02,-1.01,-1.04,-232,-72,127,-0.06,-0.05,0.08
1082,-16864,-234,0.02,-1.01,-1.04,-224,-70,120,0.06,-0.02,-0.03
1132,-16752,-204,0.02,-1,-1.04,-242,-69,121,-0.21,0,-0.02
1142,-16760,-222,0.02,-1,-1.04,-230,-51,117,-0.03,0.27,-0.08
1150,-16846,-182,0.02,-1.01,-1.04,-226,-67,122,0.03,0.03,0
1138,-16846,-180,0.02,-1.01,-1.04,-232,-68,119,-0.06,0.02,-0.05
1136,-16772,-156,0.02,-1,-1.03,-234,-63,125,-0.09,0.09,0.05
1148,-16756,-230,0.02,-1,-1.04,-231,-84,122,-0.05,-0.23,0
1162,-16792,-104,0.02,-1,-1.03,-230,-72,126,-0.03,-0.05,0.06
1098,-16844,-102,0.02,-1.01,-1.03,-235,-79,120,-0.11,-0.15,-0.03
1152,-16834,-76,0.02,-1.01,-1.03,-232,-65,129,-0.06,0.06,0.11
1004,-16894,-82,0.01,-1.01,-1.03,-231,-72,118,-0.05,-0.05,-0.06
1098,-16898,-230,0.02,-1.01,-1.04,-229,-68,131,-0.02,0.02,0.14
1116,-16818,-228,0.02,-1.01,-1.04,-229,-82,119,-0.02,-0.2,-0.05
1112,-16680,-120,0.02,-1,-1.03,-230,-64,118,-0.03,0.08,-0.06
1032,-16808,-180,0.01,-1.01,-1.04,-230,-70,124,-0.03,-0.02,0.03
1152,-16800,-148,0.02,-1.01,-1.03,-232,-63,120,-0.06,0.09,-0.03
1124,-16876,-132,0.02,-1.01,-1.03,-224,-71,118,0.06,-0.03,-0.06
1096,-16844,-304,0.02,-1.01,-1.04,-228,-58,123,0,0.17,0.02
1166,-16840,-172,0.02,-1.01,-1.04,-229,-71,123,-0.02,-0.03,0.02
1100,-16804,-168,0.02,-1.01,-1.04,-227,-57,122,0.02,0.18,0
1076,-16818,-308,0.02,-1.01,-1.04,-225,-65,129,0.05,0.06,0.11
1184,-16760,-248,0.02,-1,-1.04,-227,-63,121,0.02,0.09,-0.02
1128,-16822,-164,0.02,-1.01,-1.04,-228,-66,126,0,0.05,0.06
1176,-16848,-290,0.02,-1.01,-1.04,-221,-71,118,0.11,-0.03,-0.06
1066,-16820,-136,0.02,-1.01,-1.03,-230,-69,120,-0.03,0,-0.03
1114,-16836,-242,0.02,-1.01,-1.04,-222,-73,122,0.09,-0.06,0
