,,,,,,,,,,,
598,16038,-192,-0.01,1,-1.04,-233,-70,112,-0.08,-0.02,-0.15
606,16030,-6,-0.01,1,-1.03,-222,-82,117,0.09,-0.2,-0.08
680,16018,-138,-0.01,1,-1.03,-229,-67,122,-0.02,0.03,0
656,16030,-40,-0.01,1,-1.03,-226,-68,127,0.03,0.02,0.08
574,16068,-84,-0.01,1,-1.03,-231,-68,116,-0.05,0.02,-0.09
480,16048,-102,-0.02,1,-1.03,-222,-70,128,0.09,-0.02,0.09
676,16002,-70,-0.01,1,-1.03,-230,-68,121,-0.03,0.02,-0.02
574,15986,14,-0.01,1,-1.02,-232,-69,129,-0.06,0,0.11
612,15972,-64,-0.01,0.99,-1.03,-233,-75,132,-0.08,-0.09,0.15
586,15998,4,-0.01,1,-1.02,-229,-65,125,-0.02,0.06,0.05
618,15922,-46,-0.01,0.99,-1.03,-229,-75,118,-0.02,-0.09,-0.06
564,15870,-136,-0.02,0.99,-1.03,-220,-64,119,0.12,0.08,-0.05
598,16044,30,-0.01,1,-1.02,-225,-68,118,0.05,0.02,-0.06
620,16036,-210,-0.01,1,-1.04,-225,-76,116,0.05,-0.11,-0.09
612,16022,-160,-0.01,1,-1.03,-223,-60,130,0.08,0.14,0.12
658,15998,-12,-0.01,1,-1.03,-236,-77,131,-0.12,-0.12,0.14
610,16024,38,-0.01,1,-1.02,-232,-71,128,-0.06,-0.03,0.09
626,16018,-106,-0.01,1,-1.03,-236,-77,128,-0.12,-0.12,0.09
654,15960,-158,-0.01,0.99,-1.03,-232,-71,136,-0.06,-0.03,0.21
578,15992,-62,-0.01,1,-1.03,-226,-67,135,0.03,0.03,0.2
546,15980,48,-0.02,1,-1.02,-230,-68,129,-0.03,0.02,0.11
568,15942,-80,-0.02,0.99,-1.03,-230,-63,126,-0.03,0.09,0.06
612,16028,-6,-0.01,1,-1.03,-221,-69,125,0.11,0,0.05
630,15948,42,-0.01,0.99,-1.02,-229,-65,124,-0.02,0.06,0.03
576,16060,-38,-0.01,1,-1.03,-227,-66,125,0.02,0.05,0.05
644,16036,-44,-0.01,1,-1.03,-222,-72,123,0.09,-0.05,0.02
566,16012,30,-0.02,1,-1.02,-231,-63,121,-0.05,0.09,-0.02
532,16000,-78,-0.02,1,-1.03,-228,-70,127,0,-0.02,0.08
594,15990,26,-0.01,1,-1.02,-224,-68,127,0.06,0.02,0.08
554,15996,34,-0.02,1,-1.02,-231,-72,127,-0.05,-0.05,0.08
522,16000,-128,-0.02,1,-1.03,-222,-75,123,0.09,-0.09,0.02
602,15972,8,-0.01,0.99,-1.02,-223,-68,118,0.08,0.02,-0.06
604,16020,-44,-0.01,1,-1.03,-228,-70,129,0,-0.02,0.11
528,15992,-176,-0.02,1,-1.04,-231,-69,123,-0.05,0,0.02
636,15950,-56,-0.01,0.99,-1.03,-232,-74,125,-0.06,-0.08,0.05
628,15918,-146,-0.01,0.99,-1.03,-228,-75,122,0,-0.09,0
582,15962,-48,-0.01,0.99,-1.03,-234,-76,121,-0.09,-0.11,-0.02
