accX,accY,accZ,accX_cal,accY_cal,accZ_cal,gyroX,gyroY,gyroZ,gyroX_cal,gyroY_cal,gyroZ_cal
17224,-362,56,1,0,-1.02,-235,-80,115,-0.11,-0.17,-0.11
17166,-342,82,1,0,-1.02,-238,-70,129,-0.15,-0.02,0.11
17142,-376,68,1,0,-1.02,-228,-56,114,0,0.2,-0.12
17204,-320,-10,1,0,-1.03,-235,-63,117,-0.11,0.09,-0.08
17204,-408,40,1,0,-1.02,-230,-71,119,-0.03,-0.03,-0.05
17182,-316,150,1,0,-1.02,-229,-75,127,-0.02,-0.09,0.08
17172,-378,14,1,0,-1.02,-234,-73,116,-0.09,-0.06,-0.09
17212,-262,106,1,0,-1.02,-227,-69,128,0.02,0,0.09
17180,-438,184,1,-0.01,-1.01,-231,-67,113,-0.05,0.03,-0.14
17208,-358,20,1,0,-1.02,-230,-64,124,-0.03,0.08,0.03
17182,-404,268,1,0,-1.01,-232,-55,130,-0.06,0.21,0.12
17150,-382,114,1,0,-1.02,-229,-59,126,-0.02,0.15,0.06
17148,-394,226,1,0,-1.01,-224,-66,126,0.06,0.05,0.06
17142,-436,34,1,-0.01,-1.02,-226,-79,124,0.03,-0.15,0.03
17216,-364,50,1,0,-1.02,-222,-61,126,0.09,0.12,0.06
17188,-380,62,1,0,-1.02,-231,-59,131,-0.05,0.15,0.14
17120,-384,160,1,0,-1.02,-224,-63,121,0.06,0.09,-0.02
17206,-384,48,1,0,-1.02,-220,-78,117,0.12,-0.14,-0.08
17184,-338,52,1,0,-1.02,-229,-63,121,-0.02,0.09,-0.02
17146,-426,122,1,-0.01,-1.02,-232,-60,111,-0.06,0.14,-0.17
17170,-484,2,1,-0.01,-1.02,-228,-70,124,0,-0.02,0.03
17142,-334,52,1,0,-1.02,-218,-76,116,0.15,-0.11,-0.09
17098,-362,80,0.99,0,-1.02,-232,-64,119,-0.06,0.08,-0.05
17226,-376,126,1,0,-1.02,-228,-67,117,0,0.03,-0.08
17172,-354,50,1,0,-1.02,-221,-68,130,0.11,0.02,0.12
17160,-358,106,1,0,-1.02,-226,-64,116,0.03,0.08,-0.09
17238,-264,148,1,0,-1.02,-228,-66,129,0,0.05,0.11
17146,-432,76,1,-0.01,-1.02,-218,-60,127,0.15,0.14,0.08
17158,-376,142,1,0,-1.02,-228,-70,127,0,-0.02,0.08
17186,-322,104,1,0,-1.02,-231,-79,129,-0.05,-0.15,0.11
17156,-298,168,1,0,-1.01,-229,-70,125,-0.02,-0.02,0.05
17102,-304,-6,0.99,0,-1.03,-229,-63,124,-0.02,0.09,0.03
17152,-412,92,1,-0.01,-1.02,-230,-72,134,-0.03,-0.05,0.18
17092,-416,102,0.99,-0.01,-1.02,-233,-70,138,-0.08,-0.02,0.24
17046,-414,96,0.99,-0.01,-1.02,-232,-76,125,-0.06,-0.11,0.05
17100,-310,62,0.99,0,-1.02,-232,-71,118,-0.06,-0.03,-0.06
17116,-334,202,0.99,0,-1.01,-218,-71,120,0.15,-0.03,-0.03
17114,-362,22,0.99,0,-1.02,-224,-54,126,0.06,0.23,0.06
17168,-420,96,1,-0.01,-1.02,-229,-63,119,-0.02,0.09,-0.05
17210,-374,38,1,0,-1.02,-232,-76,127,-0.06,-0.11,0.08
17224,-370,42,1,0,-1.02,-231,-81,119,-0.05,-0.18,-0.05
17164,-380,76,1,0,-1.02,-228,-80,125,0,-0.17,0.05
17164,-396,74,1,0,-1.02,-227,-68,126,0.02,0.02,0.06
17160,-370,186,1,0,-1.01,-231,-68,124,-0.05,0.02,0.03
17206,-312,52,1,0,-1.02,-229,-60,122,-0.02,0.14,0
17172,-310,70,1,0,-1.02,-226,-66,129,0.03,0.05,0.11
17290,-342,186,1.01,0,-1.01,-218,-74,126,0.15,-0.08,0.06
17178,-346,60,1,0,-1.02,-220,-70,118,0.12,-0.02,-0.06
17226,-426,80,1,-0.01,-1.02,-226,-73,122,0.03,-0.06,0
17138,-376,148,1,0,-1.02,-227,-65,121,0.02,0.06,-0.02
17126,-370,114,1,0,-1.02,-229,-73,125,-0.02,-0.06,0.05
17218,-320,216,1,0,-1.01,-224,-63,128,0.06,0.09,0.09
17160,-334,16,1,0,-1.02,-224,-72,116,0.06,-0.05,-0.09
17172,-300,150,1,0,-1.02,-226,-63,126,0.03,0.09,0.06
17116,-360,192,0.99,0,-1.01,-228,-76,124,0,-0.11,0.03
17248,-398,76,1,0,-1.02,-231,-69,128,-0.05,0,0.09
17080,-362,122,0.99,0,-1.02,-220,-69,121,0.12,0,-0.02
17108,-408,36,0.99,0,-1.02,-236,-70,126,-0.12,-0.02,0.06
17184,-356,40,1,0,-1.02,-230,-68,127,-0.03,0.02,0.08
